Document_ID,Clean_Text,,Sentiment
0,purchased laptop upgraded ram gb ssd tb arrived near may fan died morning june one year weeks purchased laptop warranty yr yr ran diagnostics said warranty started ended december dell wanted charge support asked escalate chat supervisor said one working weekday buying dell laptops years work never anything broken within first year fact usually buy cheapest ones change every years first time purchased expensive one thinking would last least long laptop ever support person blow like,,negative
1,item came promptly beginning touch screen didnt work could live went take class couldnt hear message popped sound card wont issue refund saying amazons responsibility getting royal run around,,negative
2,already issues require repair beyond inhouse guy,,negative
3,came evening around pm thankful usps still working scratches outside used im greatly need good computer far working terrific fast touch screen course doesnt really use unless feeling lazy using mouse computer great please amazon dell send brand new computer without scratches top would put star came brand new buyers beware,,neutral
4,laptop ok price lack usbc problem especially power connector broken sure adapter board case expected better dell close hp quality compliment,,negative
5,ordered new recurved used one return,,negative
6,laptop month half love boots seconds multitasking super fast simultaneously downloading several files listening itunes working spreadsheets didnt slow machine one bit loads memory space although generally dont use touchscreen feature kind cool fingerprint reader works perfectly hard pressed find comparable laptop anywhere close price also bought laplink pcmover software amazon made fast seamless transfer,,negative
7,product arrived damaged working seller refuses fix replace blaming damage beware purchasing brown box seller,,negative
8,touch screen advertised nothing item advertised could even connect internet cool never dealing amazon years one worst experiences encountered son crushed,,negative
9,laptop randomly shut would restart worked fine otherwise finally enough contacted dell warranty expired february purchased oct promised brand new laptop someones used reject,,negative
10,give sister cooks cleans takes trash loves facebook new laptop bought laptop specs laptop gobbs memory enough hard drive space millions pictures hope likes im pretty sure love,,negative
11,although picture shows black keyboard received gray big deal parents difficult time seeing gray advertised,,negative
12,far weeks use loving laptop spent lot time researching get laptop within budget ran really well one checks boxes speed memory sound screen great happy choice use personal business use,,negative
13,laptop feels cheap keys super small backlight makes hard see trackpad horrible flexes hypersensitive point almost unusable set easy onboard dell ai assistant fan bit loud per reviews machine run hot touchscreen actually decent works well speakers get buzzy even medium volume played music videos yt due annoying trackpad poor sound quality sure keep return update system failure hardwarebios prevents use must return dell really bad never dell,,negative
14,bought computer looking computer wife ssd least gb ram least processor also wife feels comfortable working windows one good balance price specs looks lot like macbook pro feels little fragile mac also liked one full keyboard including numbers keypad touchscreen thing like laptop something feel useless doesnt respond well modern cellphone looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,,negative
15,computer proven fast needed setup easy moves lightening speed,,negative
16,servers purpose field superintentent,,positive
17,hunk junk working found warranty runs november received july would nice put product explanation,,positive
18,bought grown children absolutely love computer happy,,positive
19,use laptop windows needs reloaded seller return phone calls return date expired march purchased tax returns end january feeling scammed,,positive
20,great little computer,,positive
21,ad offered new machine machine delivered used warranty expires dec two days,,positive
22,good computer good price,,positive
23,laptop amazing fast display good definitely recommend students office purposes,,negative
24,sure time touch screen worthy extra cost,,negative
25,thing dont like even turning keyboard light continually pressed difficult see characters keys,,negative
26,cannot open system desktop first used warranty time also wrong bought computer january warranty list shows warranty period reach november seriously suspect computer used tried contact seller ask didnt reply information,,negative
27,tried start computer first time said bootable item go dellcomsupport find warranty expired jun ordered computer january avoid product seller cost total rip,,negative
28,overall good laptop casual use fan backlit keyboard difficult see keys sometimes would recommend laptop anyone looking fast easy use solution shopping reading reasearch,,negative
29,laptop giving son significant issues especially battery mere weeks purchasing laptop work unless plugged son school assignment nightmares trying complete assignment tried persist working laptop give good half hour powering something wrong letters keyboard stick press type parent one purchase laptop know disadvantage son feel responsible inadequate purchase part,,negative
30,bought model realizing isnt high low end spectrum comes buying laptop ive already sent unit twice repairs looks like im going send im saying anything negative customer service im giving stars theyve nothing kind assisted greatly send unit three times repair within three months cost save money look different unit,,negative
31,laptop used wife replaces older dell inspiron laptop enjoys speed feel keyboard touchscreen display havent heard complaints praise,,positive
32,review written non techie person good memory well lit screen easy use use laptop email publisher works well laptop heavier might like carry laptop often fine rarely take desk home thought price good capabilities,,positive
33,good laptop ecxept ethernet speed specifications said gigabit ethernet port max mbps download spoke dell support tech tried everything get mbps luck able get wifi speed mbps still low based mbps internet service,,positive
34,boot time pretty long mins moderate usage started getting responding errors load time applications surprisingly long typing keyboard laggy box would recommend laptop light surfing streaming seller awesome though would buy time,,positive
35,software developer using memory intensive programs needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely seconds running data heavy node application heavy development server vscode spotify tabs google chrome thing isnt even breaking sweat mentioned programs im still using little less half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeat flaws screen okay wasnt buying machine screen seen laptops price range better displays thing touchscreen literally need,,positive
36,bought laptop personal home use mainly internet searching surfing using microsoft office many hours machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycles optical drive wonder chip set generate enough heat make fan run,,positive
37,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,,negative
38,came poorly packed usable screen dark even highest setting ten minutes error message hard drive needs scanned errors scan completed showed multiple system errors asked replacement days ago return approved still processed daughter needs laptop school nothing spending,,negative
39,runs really fast turn back lit keyboard nice screen plenty ports dvd drive shuts quick one silver instead black low heat computer nice sized screen comfortable,,positive
40,great laptop fast quiet sure people say fan load cant hear anything reason gave star phone dell two hours trying resolve hard drive issue tb showing laptop several transfers dell right person able activate tb drive everything else working order,,positive
41,far looks best laptop ever owned fast using solid state drive os tb hdd storage description says optical drive mine came dvdrw drive receive wrong model negative c port small negative,,positive
42,scammed money dell dishonest incompetent laptop pc manufacturer whole world weeks id bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hours truck noise fan returned even louder wanna throw bird window curse dell people thieves stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,,negative
43,looking replace year old laptop seen better daysi looked months add one list matched dimensions old laptop upgrades minus stuff dont need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show upgraded agent proceeded tell upgrades bumped cost unit higher base unit went dells website price right got way paid complaints unit aside battery life,,negative
44,product sold used announcement said new received product tried find long would guarantee unfortunately informed service code guarantee already expired,,negative
45,nnnnnnnnnn n n muy buen equipo pero el que recibí aparentemente tiene problema con la memoria ram pues al instalar un programa nuevo exigirle al equipo el windows se tranca sale una pantalla azul de error luego del reinicio se autoresuelve pero resulta algo incómodo que te suceda frecuentementen n n n,,negative
46,excited ordered new dell ive bought previous dells absolutely loved due diligence different models etc settled one good price trusted dell literally time plugged pushed start button nothing happened waited minutes thinking maybe needed plugged awhile turn black screen waited waited finally looked clock minutes seconds get functioning really figured time turned till finally came probably minutes replacing old dell latitude owned years wanted new fast computer got took forever site load tried close page id click x wait wait wait let say use laptop keeping touch friendsfamily research recipes couponing sharing photos download games stream videos download music dont watch tv shows wanted fast computer tried deleting bloat hardware didnt help love touch screen screen size battery life running like crap im going return,,negative
