stars,comment
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I purchased this laptop with upgraded RAM (32GB) and SSD (1TB).  It arrived near May 15, 2019.  The fan died this morning June 26, 2020 only one year and 6 weeks from when I purchased the laptop.  The warranty is for 3yr and 1yr.  When I ran diagnostics it said the warranty started in 2018 and ended December of 2019.  Dell wanted to charge me for support.  When I asked to escalate (chat) to a supervisor, they said no one was working until the weekday.', 'I have been buying Dell laptops for 20 years for work and never has anything broken within the first year.  In fact, I usually buy the cheapest ones and change them every 2 years.  This is the first time I purchased a more expensive one, thinking it would last AT LEAST AS LONG AS THE $500 laptop.', 'Nor have I ever had a support person blow me off like this...\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  The item came promptly. From the beginning the touch screen didn't work. But I could live with that. But when I went to take a class and couldn't hear!!!! A message popped up that there was no sound card. Now they won't issue a refund and are saying it's Amazon's responsibility. Getting the royal run around.\n"", '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  It has already had issues that require repair beyond the in-house IT guy.\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Came in evening around 11pm so in thankful USPS was still working. But had a few scratches on the outside as if it has been used. But I'm greatly in need of a good computer and so far it's working terrific and fast. The touch screen of course doesn't really have any use unless I am feeling lazy about using the mouse but this computer is great. But please Amazon or Dell, send a brand new computer without scratches on top of it because I would have put a 5 Star if It came brand new. Buyers beware...\n"", '\n  \n']"
2.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  This laptop was ok for the price. Lack of USB-C is a problem, especially now that the power connector is broken, not sure if it is the adapter or on the board. In any case, expected better from Dell, this is close to HP quality (this is not a compliment)\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I ordered new and recurved used one I will return it\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I have had this laptop for about a month and a half and I love it. It boots up in seconds. Multitasking is super fast (simultaneously downloading several files while listening to iTunes and working on spreadsheets didn't slow this machine one bit) and it has loads of memory space. Although I generally don't use the touchscreen feature, it is kind of cool. The fingerprint reader works perfectly. You will be hard pressed to find a comparable laptop at anywhere close to this price. I also bought the Laplink PCmover software from Amazon which made it a fast and seamless transfer.\n"", '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Product arrived damaged and not working. Seller refuses to fix or replace and is blaming me for damage. Beware of purchasing from Brown Box seller!\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  This is not the touch screen as advertised. Nothing about this item is as advertised!!!! Could not even connect it the internet. SO NOT COOL!!!!!! Never again, and I have been dealing with Amazon for years, and this is one of the worst experiences I have encountered. My son is crushed!!!!!\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Laptop randomly shut itself off and would not restart. Worked fine otherwise. When I finally had enough and contacted Dell the warranty had expired in February 2019 (I purchased in Oct 2019). I was promised a brand new laptop, not someone's used reject.\n"", '\n  \n']"
