,titles,abstracts
0,[PDF][PDF] Natural language processing,"Description/Abstract Natural Language Processing (NLP) is the computerized approach to analyzing text that is based on both a set of theories and a set of technologies. And, being a very active area of research and development, there is not a single agreed-upon definition …"
1,Allennlp: A deep semantic natural language processing platform,"This paper describes AllenNLP, a platform for research on deep learning methods in natural language understanding. AllenNLP is designed to support researchers who want to build novel language understanding models quickly and easily. It is built on top of PyTorch …"
2,Sentiment analysis: Capturing favorability using natural language processing,"This paper illustrates a sentiment analysis approach to extract sentiments associated with polarities of positive or negative for specific subjects from a document, instead of classifying the whole document into positive or negative. The essential issues in sentiment analysis are …"
3,Natural language processing: an introduction,Objectives To provide an overview and tutorial of natural language processing (NLP) and modern NLP-system design. Target audience This tutorial targets the medical informatics generalist who has limited acquaintance with the principles behind NLP and/or limited …
4,Introduction to Arabic natural language processing,This book provides system developers and researchers in natural language processing and computational linguistics with the necessary background information for working with the Arabic language. The goal is to introduce Arabic linguistic phenomena and review the state …
5,Advances in natural language processing,"Natural language processing employs computational techniques for the purpose of learning, understanding, and producing human language content. Early computational approaches to language research focused on automating the analysis of the linguistic structure of language  …"
6,[PDF][PDF] Ask me anything: Dynamic memory networks for natural language processing,"Most tasks in natural language processing can be cast into question answering (QA) problems over language input. We introduce the dynamic memory network (DMN), a neural network architecture which processes input sequences and questions, forms episodic …"
7,Transformation-based error-driven learning and natural language processing: A case study in part-of-speech tagging,"Recently, there has been a rebirth of empiricism in the field of natural language processing. Manual encoding of linguistic information is being challenged by automated corpus-based learning as a method of providing a natural language processing system with linguistic …"
8,A primer on neural network models for natural language processing,"Over the past few years, neural networks have re-emerged as powerful machine-learning models, yielding state-of-the-art results in fields such as image recognition and speech processing. More recently, neural network models started to be applied also to textual …"
9,[BOOK][B] Handbook of natural language processing,"Library of Congress Cataloging-in-Publication Data Handbook of natural language 
processing/edited by Robert Dale, Hermann Moisl, Harold Somers. p. cm. ISBN: 
0-8247-9000-6 (alk. paper) 1. Natural language processing (Computer …"
10,Jumping NLP curves: A review of natural language processing research,Natural language processing (NLP) is a theory-motivated range of computational techniques for the automatic analysis and representation of human language. NLP research has evolved from the era of punch cards and batch processing (in which the analysis of a …
11,Detection of duplicate defect reports using natural language processing,"Defect reports are generated from various testing and development activities in software engineering. Sometimes two reports are submitted that describe the same problem, leading to duplicate reports. These reports are mostly written in structured natural language, and as …"
12,Sentiment analyzer: Extracting sentiments about a given topic using natural language processing techniques,"We present sentiment analyzer (SA) that extracts sentiment (or opinion) about a subject from online text documents. Instead of classifying the sentiment of an entire document about a subject, SA detects all references to the given subject, and determines sentiment in each of …"
13,Neural network methods for natural language processing,Neural networks are a family of powerful machine learning models. This book focuses on the application of neural network models to natural language data. The first half of the book (Parts I and II) covers the basics of supervised machine learning and feed-forward neural …
14,[BOOK][B] Natural language processing for Prolog programmers,"1.2 Language from a scientific viewpoint 2 … 1.4 Levels of linguistic analysis 5 1.4.1 
Phonology, 5 1.4.2 Morphology, 6 1.4.3 Syntax, 7 1.4.4 Semantics, 9 1.4.5 Pragmatics, 10 … 
2.2.1 Recipe for a template system, 16 2.2.2 Implementing simplification rules, 19 2.2.3 Implementing …"
15,[BOOK][B] Natural language processing and text mining,"The topic this book addresses originated from a panel discussion at the 2004 ACM SIGKDD (Special Interest Group on Knowledge Discovery and Data Mining) Conference held in Seattle, Washington, USA. We the editors or-nized the panel to promote discussion on how …"
16,[PDF][PDF] A survey on hate speech detection using natural language processing,"This paper presents a survey on hate speech detection. Given the steadily growing body of social media content, the amount of online hate speech is also increasing. Due to the massive scale of the web, methods that automatically detect hate speech are required. Our …"
